Morphology,Seed,Merit_Scaled,Coherence_Ratio,Peak_AF
fractal,42,0.02124606,1.10298285,0.02855149
fractal,43,0.02260157,1.10335655,0.03021013
fractal,44,0.02244543,1.11783373,0.02988198
fractal,45,0.02252873,1.09435518,0.03042905
fractal,46,0.02239688,1.10706011,0.02991676
fractal,47,0.02284812,1.12494534,0.03023634
fractal,48,0.02242382,1.12387468,0.02972427
fractal,49,0.02273415,1.10471939,0.03057832
fractal,50,0.02151787,1.11056658,0.02864911
fractal,51,0.02227735,1.12906563,0.02942434
fractal,52,0.02155993,1.1163976,0.02880204
fractal,53,0.02193099,1.10736454,0.0292946
fractal,54,0.02240744,1.12158062,0.02993396
fractal,55,0.02266984,1.11791393,0.02985465
fractal,56,0.02284767,1.11985015,0.03017707
fractal,57,0.02206876,1.11485196,0.02937692
fractal,58,0.0220665,1.13915705,0.02858241
fractal,59,0.0222351,1.09885991,0.02990875
fractal,60,0.02260447,1.10594333,0.03027488
fractal,61,0.02194712,1.11018752,0.02940757
fractal,62,0.02199018,1.1101217,0.02948796
fractal,63,0.02106602,1.10691875,0.0282094
fractal,64,0.02214633,1.11563411,0.0295008
fractal,65,0.02158354,1.1016799,0.02935898
fractal,66,0.02216923,1.12120785,0.02931483
fractal,67,0.0217532,1.10851838,0.02897311
fractal,68,0.0219128,1.13015026,0.02866616
fractal,69,0.02152202,1.11835693,0.02821582
fractal,70,0.02254271,1.09881105,0.03049724
fractal,71,0.02178605,1.11191382,0.02912495
botanical,42,0.02866018,1.41465345,0.02995538
botanical,43,0.02466745,1.23071435,0.02971487
botanical,44,0.04793403,1.5166829,0.04695935
botanical,45,0.02543796,1.52269243,0.02470776
botanical,46,0.01582698,1.40281666,0.0166496
botanical,47,0.01104084,1.4391982,0.0111896
botanical,48,0.02056805,1.39615106,0.02180671
botanical,49,0.01016567,1.37522538,0.01094498
botanical,50,0.02953742,1.35619342,0.03253554
botanical,51,0.01718895,1.37938412,0.01845771
botanical,52,0.01966089,1.46641949,0.01992523
botanical,53,0.03284782,1.4166491,0.0345333
botanical,54,0.0156258,1.46076856,0.01597166
botanical,55,0.04340416,1.52886514,0.04214824
botanical,56,0.02634218,1.30211815,0.02982801
botanical,57,0.03407686,1.45501802,0.03486657
botanical,58,0.02999172,1.34205136,0.03317433
botanical,59,0.05677059,1.5115387,0.05585639
botanical,60,0.0292717,1.53573182,0.02842566
botanical,61,0.02970452,1.47634849,0.02985454
botanical,62,0.03031111,1.48691876,0.03016932
botanical,63,0.05102604,1.50840729,0.05011414
botanical,64,0.0242044,1.51551843,0.02362282
botanical,65,0.02432523,1.492215,0.02393814
botanical,66,0.01699676,1.27279988,0.01966083
botanical,67,0.02719254,1.53605011,0.02646675
botanical,68,0.04198309,1.46016302,0.04266804
botanical,69,0.03406512,1.3747949,0.03723383
botanical,70,0.00999685,1.4497405,0.01020861
botanical,71,0.01392162,1.33625442,0.01547943
random,42,0.01932152,1.52257421,0.01879501
random,43,0.03974999,1.46873404,0.04031497
random,44,0.03876311,1.52023661,0.0378812
random,45,0.03165307,1.54357899,0.03042208
random,46,0.03380158,1.53891377,0.03264416
random,47,0.03254159,1.49047939,0.03239391
random,48,0.02791059,1.3132566,0.03130268
random,49,0.03135683,1.21475612,0.03831186
random,50,0.03687393,1.53216795,0.03574535
random,51,0.03550685,1.52883726,0.03434618
random,52,0.05378099,1.55835159,0.05135844
random,53,0.04538969,1.34998379,0.04984482
random,54,0.03327885,1.37600016,0.03602914
random,55,0.04951021,1.38732043,0.05304532
random,56,0.04274948,1.48853199,0.04269751
random,57,0.04432898,1.50439829,0.04382562
random,58,0.03195094,1.53990957,0.03083356
random,59,0.06310772,1.56470306,0.05998835
random,60,0.03787571,1.48099833,0.03814555
random,61,0.03040406,1.27659598,0.03528852
random,62,0.02141238,1.50602301,0.02110302
random,63,0.0209615,1.18027541,0.02641929
random,64,0.02613279,1.25222506,0.03079778
random,65,0.0212319,1.37577693,0.02291948
random,66,0.03304796,1.33373177,0.03678324
random,67,0.02316795,1.13251647,0.03036577
random,68,0.07140655,1.56918537,0.06769909
random,69,0.04786224,1.45003169,0.04906085
random,70,0.05444204,1.45438853,0.05561108
random,71,0.03251603,1.54431842,0.03130552
fibonacci,42,0.00923703,1.38523433,0.00999001
fibonacci,43,0.00879086,1.43020301,0.00934702
fibonacci,44,0.01033617,1.47272653,0.01042523
fibonacci,45,0.00805348,1.4542186,0.00835742
fibonacci,46,0.007951,1.40369354,0.00848771
fibonacci,47,0.00926944,1.41228029,0.00973223
fibonacci,48,0.00924673,1.45002204,0.0096021
fibonacci,49,0.0080058,1.45130713,0.0081168
fibonacci,50,0.00944941,1.43206087,0.00983564
fibonacci,51,0.0099976,1.43851429,0.01022878
fibonacci,52,0.00824754,1.35766835,0.00897067
fibonacci,53,0.00922838,1.43408926,0.00947447
fibonacci,54,0.00860963,1.38664063,0.00933347
fibonacci,55,0.01009786,1.44927913,0.01032021
fibonacci,56,0.00848987,1.44498595,0.00869158
fibonacci,57,0.00834314,1.37380463,0.00900282
fibonacci,58,0.01067378,1.42290459,0.01106534
fibonacci,59,0.00946297,1.41946462,0.00974837
fibonacci,60,0.00818034,1.4109215,0.00874077
fibonacci,61,0.00887568,1.45583178,0.00911967
fibonacci,62,0.00831021,1.3569958,0.00906479
fibonacci,63,0.00988739,1.34581163,0.01088255
fibonacci,64,0.0089538,1.42139829,0.00937452
fibonacci,65,0.00795916,1.3970428,0.00840091
fibonacci,66,0.00968959,1.44835437,0.00985733
fibonacci,67,0.00878369,1.38265105,0.00938772
fibonacci,68,0.01042304,1.4465249,0.01088088
fibonacci,69,0.01058304,1.37965301,0.01141069
fibonacci,70,0.00859084,1.45255363,0.0087424
fibonacci,71,0.00863523,1.41609332,0.00906041
voronoi,42,0.06321384,1.5053628,0.06240938
voronoi,43,0.05722992,1.27860684,0.06616988
voronoi,44,0.07379353,1.52901462,0.07166662
voronoi,45,0.03743291,1.53283871,0.03631214
voronoi,46,0.05594908,1.2047187,0.06885751
voronoi,47,0.0204838,1.29610638,0.02345132
voronoi,48,0.03136855,1.44270152,0.0323003
voronoi,49,0.03920885,1.10249796,0.0527596
voronoi,50,0.05833091,1.5606732,0.05559258
voronoi,51,0.03092415,1.21438449,0.03791662
voronoi,52,0.08209927,1.57052006,0.07775871
voronoi,53,0.02533508,1.54406225,0.02441238
voronoi,54,0.04823392,1.53917098,0.04667407
voronoi,55,0.06351155,1.26201329,0.0745874
voronoi,56,0.09767874,1.56286189,0.09301426
voronoi,57,0.00832006,1.3699745,0.0090714
voronoi,58,0.03902798,1.53958635,0.03773191
voronoi,59,0.04594523,1.44110601,0.04729744
voronoi,60,0.05408834,1.3279657,0.06034009
voronoi,61,0.02569554,1.52147053,0.02504691
voronoi,62,0.03189449,1.36138122,0.03484502
voronoi,63,0.0594284,1.32152415,0.06681351
voronoi,64,0.04038075,1.45006397,0.04134108
voronoi,65,0.03160894,1.14200013,0.04131245
voronoi,66,0.02350412,1.35956392,0.02551461
voronoi,67,0.04152564,1.34990039,0.04533766
voronoi,68,0.02501514,1.41143481,0.02599102
voronoi,69,0.03832362,1.38905226,0.04147083
voronoi,70,0.05911115,1.53437536,0.05721349
voronoi,71,0.0299253,1.25460235,0.03536403
